pos	char_start	char_end	token_id	uid	token_str	prefix_len_tokens	prefix_text_len_chars	tail	fp_hex	hd_token_fp	half_bits	is_tie	tie_bit	is_green	n_attacked_chars_in_prev_window	attacked_chars_in_prev_window
44	141	143	35276	16934332	Xd	44	158	ortal is a web-bas	568c32fb3c4bf282c337276609c3ee00ad1f108173ab6b028c6185b9bc4a0925	125	128	0	1	1	0	
45	143	152	5452	6434621	 platform	45	160	tal is a web-basXd	428c327b1d6ff28ac335266601e366003b6b109161ab6b002ee185bdbe4a08c1	137	128	0	0	0	1	141
46	152	157	430	6433597	 that	46	169	web-basXd platform	3aa5b75897d14e0051292ec6c9d77c42522b891466e56d605fe0b8d316e02ac0	125	128	0	0	1	1	141
47	157	162	63747	7161145	 allo	47	174	asXd platform that	3ba59f7806dd4c30ac028ccff956ed4a2223e1b156472d4447a9bd9216e16a82	137	128	0	0	0	1	141
48	162	163	55	16974424	X	48	179	platform that allo	12a59f704ddd0816ae828534e25cf6523603d3b05f4f2c844709fddcb6620a92	124	128	0	1	1	0	
49	163	164	82	16974451	s	49	180	latform that alloX	16a5bf70451d0816ae038d24e05cf442b603f3b05e4e640c5729fddc90620a90	125	128	0	1	1	1	162
50	164	175	13707	7819839	 developers	50	181	atform that alloXs	06a5bf7045152816ae028d08e04c5c42b70343b0674e6c0c5709fdd4b4264890	127	128	0	1	1	1	162
51	175	178	311	16937187	 to	51	192	 alloXs developers	d7bc678e70614b468a891758934c0402a4c207e8705a7302b3169a106584486e	118	128	0	1	1	1	162
52	178	185	6847	7620665	 easily	52	195	loXs developers to	349c278f30004f668b8995d893ce060ca7c6afe9501a5282a3141a1c6495486e	128	128	1	0	1	1	162
53	185	191	5503	7690059	 integ	53	202	velopers to easily	1c3b8b7f18883fba8b8b97ddde37a72a89762a81311878d9af1488fde4915f6a	122	128	0	0	1	0	
54	191	192	55	16974424	X	54	208	rs to easily integ	3d1d1b3a148808f88d4bbf1f7e17912289776af7365988d97e6620a3a283cfc3	130	128	0	1	0	0	
55	192	195	349	6700858	ate	55	209	s to easily integX	3d191b3816a904f88d8fbe1f7e1781a28a772bf7675988d97e66a0f7618bcfe3	131	128	0	1	0	1	191
56	195	196	220	16974592	 	56	212	o easily integXate	a41d197e56a00078870e943d7a1f98a2f27723777719a9d89e36f9bf2003cfc3	138	128	0	0	0	1	191
57	196	197	23	16974392	8	57	213	o easily integXate	a41d197e56a00078870e943d7a1f98a2f27723777719a9d89e36f9bf2003cfc3	133	128	0	1	0	1	191
58	197	198	72	16974441	i	58	214	easily integXate 8	ac9d1b7e54a04078851ef4bd7a1f0880e2772bfff7518164da727daf302bcf43	139	128	0	1	0	1	191
59	198	199	55	16974424	X	59	215	asily integXate 8i	a68d19fa442040f8851ef43d7a3e0880e2372b7bf2598904da767dab3023cfc3	139	128	0	1	0	1	191
60	199	200	82	16974451	s	60	216	sily integXate 8iX	e48d19fa55a040fa871ef4357a3e8889e2373beba65980c4da7279ab3022cf43	117	128	0	1	1	2	191,198
61	200	206	63920	7161937	 volum	61	217	ily integXate 8iXs	ec9d5dfe57a0407ac71ebc3552766889e23fbbeba25d80ccda7239ab3123cf43	132	128	0	1	0	2	191,198
62	206	211	16743	7559499	etric	62	223	tegXate 8iXs volum	465a08eead3408bf475cf0f15b64a8ade43f0962b15d8284da77b9691d609342	124	128	0	1	1	2	191,198
63	211	217	2835	6632003	 video	63	228	te 8iXs volumetric	6c220aea9fb15cfdb25242f81fe4e86bf4668940aaddcaa45fafb1c902649050	121	128	0	0	1	1	198
64	217	222	1139	7690059	 into	64	234	s volumetric video	ee2339e097a35ff030c042f833cc4c4ef967004da2d1faf95f9fc4493274501c	122	128	0	0	1	0	
65	222	231	13335	6498878	 websites	65	239	umetric video into	eeaf6b9997685f89a1d04b7af7dc6a0bab2924cd60b1688dbe2a64471b66552c	121	128	0	0	1	0	
66	231	232	11	16974380	,	66	248	ideo into websites	c6c78259a2a843fbddc0e922aed123000e068c8170d02006aca007565cef0fe5	126	128	0	0	1	0	
67	232	239	3674	6567493	 social	67	249	deo into websites,	064f82d9a2a803fbddc0e922aee1030e0e8e8ca360c43207eca007d65cef1fe1	124	128	0	0	1	0	
68	239	245	3772	6630966	 media	68	256	o websites, social	2244c06de1f8b1aa19c26ca09814a106004497614040b23ee7300db25e0e9f67	140	128	0	0	0	0	
69	245	255	15771	6434621	 platforms	69	262	ites, social media	2f6cc94ee23891aa09685e231454822471e89fdd4002b33ca7120fd33f0c7657	123	128	0	0	1	0	
70	255	256	11	16974380	,	70	272	al media platforms	31acdd70b69509428b620df6c047ca1e50e1b3387ac6360d2cb0229516606210	136	128	0	0	0	0	
71	256	260	323	6633267	 and	71	273	l media platforms,	31acdd608699594699620df4c045ea1e50e0b1387987360d3cb0a29116646211	132	128	0	1	0	0	
72	260	267	6505	6501438	 mobile	72	277	dia platforms, and	00bd99c11ddd594599320fd6c845c2da10a0a17a7b85a3014db3aa851749e651	130	128	0	1	0	0	
73	267	268	55	16974424	X	73	284	tforms, and mobile	16af55c1b9555dc5d01e03114a0ae2ba8425171a6b952b197261ea403eb8e407	130	128	0	1	0	0	
74	268	272	28735	7426369	apps	74	285	forms, and mobileX	508d51c9b95bddcd511d23154ac6e28285a5120a6b812b18e229ea403eba6607	120	128	0	1	1	1	267
75	272	274	627	16911160	.\n	75	289	s, and mobileXapps	74cdd1dcb0051785514d03754ae642e2a5244238e2092b5866286b4b84b8f606	117	128	0	1	1	1	267
76	274	275	23	16974392	8	76	291	, and mobileXapps.	74cdd1dcb8059f87604c032542e262a2a5261238e2092b594669284384bad086	123	128	0	1	1	1	267
77	275	276	72	16974441	i	77	292	and mobileXapps. 8	70c97158b90c9f86600f21650ae263a7e5379e98e3092b58664828c180ba8917	122	128	0	1	1	1	267
78	276	277	11	16974380	,	78	293	nd mobileXapps. 8i	70cb715c391dbf87705d21659a6263a7a5269e98a3810b486640288800badb87	137	128	0	0	0	1	267
79	277	279	1630	16974424	 X	79	294	d mobileXapps. 8i,	70cbf018b81d3f86201d2565926262a7e1b69c9883250b48e608a8c900baab27	131	128	0	1	0	1	267
80	279	281	1031	16934097	nc	80	296	mobileXapps. 8i, X	70c27939385d2786281c3d65d66043e5d1368e98852753516644b8c900b3bb25	103	128	0	0	1	2	267,278
81	281	282	13	16974382	.	81	298	bileXapps. 8i, Xnc	706aeb30384f078288143c60da204335f11688b8ad2757416c45998982bb8b25	134	128	0	1	0	2	267,278
82	282	285	374	16938204	 is	82	299	ileXapps. 8i, Xnc.	706aeb30b84a2782c814a864be204335f11208f8ad2753416c47998182bb9b25	125	128	0	0	1	2	267,278
83	285	287	264	16974433	 a	83	302	Xapps. 8i, Xnc. is	d86a6a20a84a63c2e8142061fca34325d1428ed0ad2350d36cc7fb8182fb9321	109	128	0	0	1	2	267,278
84	287	298	71674	7358536	 pioneering	84	304	pps. 8i, Xnc. is a	d86e2e2228484fc288146061bd01413551428640e507525b6846ff8186eba125	129	128	0	0	0	1	278
85	298	301	15592	16927370	 AI	85	315	c. is a pioneering	46c5433ba84a4a71216df1ec010ae3980e001101e04bfc919e4616b2443116c8	127	128	0	0	1	0	
86	301	309	41503	7360268	-powered	86	318	is a pioneering AI	664153b38c4fca50604178ec41bb74b88a019400a06958d93e4204b247a006d8	134	128	0	0	0	0	
87	309	319	57088	6833213	 augmented	87	326	neering AI-powered	f551dac14c56e216785f4a72459456f882459c82b4ee10cb38c1288b07203390	126	128	0	0	1	0	
88	319	322	312	16934615	 re	88	336	-powered augmented	e3d84cd0045236135bb94ae8e6891279f6d0acb082e509403cff083c28d89694	129	128	0	1	0	0	
89	322	323	55	16974424	X	89	339	wered augmented re	cbd86454040316b3bad940e8e6e8123976d3bcb044a5411b3cbf81f6a0d8d484	131	128	0	1	0	0	
90	323	324	75	16974444	l	90	340	ered augmented reX	e3d8445444921293aadb08a8e6f810bb56d3acb18ea54519bcbf88b620d8d480	132	128	0	1	0	1	322
91	324	327	488	8021846	ity	91	341	red augmented reXl	e34c0452449312b3aad300a8c6b830bf56d3acb18ea54509bcbf8ae428dad08c	126	128	0	1	1	1	322
92	327	329	320	16974376	 (	92	344	 augmented reXlity	f80c1556cc8292b22ad320a82658309556d32ca90a35693ab89c83fda2daf08c	127	128	0	0	1	1	322
93	329	331	946	16929683	AR	93	346	ugmented reXlity (	fa5c0516dc00b3f036d328eb265830b516d0008988356b0eb495838ba2dbf008	123	128	0	1	1	1	322
94	331	332	8	16974377	)	94	348	mented reXlity (AR	fe3c1012fc0091b4369b28af2cd8301056d211ad8835689ab0148286a3d7e808	138	128	0	0	0	1	322
95	332	340	2883	7227967	 company	95	349	ented reXlity (AR)	fc3c1004dc0091f4b69a30ad2cd8f01446d3012d0835299ab010830682d7e90b	134	128	0	0	0	1	322
96	340	345	430	6433597	 that	96	357	Xlity (AR) company	ce729808e9c537f614cbbb73004be80497b143e92700200aaa01260d0657aa10	128	128	1	0	1	1	322
97	345	353	24400	6567480	 focuses	97	362	 (AR) company that	ee72db1c69875bb613cfba3b102740c5b6b577992312250d8a3b4615047e4ee2	128	128	1	0	1	0	
98	353	356	389	16936925	 on	98	370	mpany that focuses	6b004be8018cd8b6c2a7519b3006125fae3ff607225b9d4a9f2a46343464488c	146	128	0	0	0	0	
99	356	362	6184	6700346	 creat	99	373	ny that focuses on	6f00cae8201cc526e22351bea106667fa675e605287f9d5b9d2a06d830754888	116	128	0	1	1	0	
100	362	363	55	16974424	X	100	379	t focuses on creat	2208ec68b00ca520ca125976ab05477d4f0ce227082cb85eae2a365af8c488b8	125	128	0	1	1	0	
101	363	365	983	16935125	ng	101	380	 focuses on creatX	2208ed68a01ca420525b49768305477d4f0ce2270c2cb04a8ae236d8dac098b9	128	128	1	0	1	1	362
102	365	370	1579	6830136	 high	102	382	ocuses on creatXng	3219eb58a0dd2680525b0976af0747596fa562640c0ca05a8a9234d84a4058b1	124	128	0	1	1	1	362
103	370	378	22867	7756819	-quality	103	387	s on creatXng high	1159ef5c80ec2086c0cb2432972547594f8521400e08044bae763c730348faf1	129	128	0	0	0	1	362
104	378	379	11	16974380	,	104	395	atXng high-quality	f5592ff5c0088012f89121ec934637928721a6c9832f25d7049caa250360fe21	135	128	0	0	0	1	362
105	379	389	65280	7227459	 immersive	105	396	tXng high-quality,	71592ff5c0689052f8d160ec934617188621a7d9820f67df069caa270362b637	125	128	0	0	1	1	362
106	389	392	6395	16929683	 AR	106	406	quality, immersive	43cb3d3eb24c837bb15941d007d417584f64a78060e762968e803c8f234e9833	116	128	0	1	1	0	
107	392	404	11704	7428429	 experiences	107	409	lity, immersive AR	c7cbb72c920c1b79a359c1c11751535446cca78260c752b686b3348f254fb8b7	122	128	0	1	1	0	
108	404	410	1701	6964817	 using	108	421	ive AR experiences	05e960003f24f00ebfc809a5145b2bad571a88e0e2023c3f35cd7024472f60f8	130	128	0	1	0	0	
109	410	414	1202	7625552	 its	109	427	 experiences using	556322201b28f0889fe022b53c5a26ab5b3288a98090b93d615771f857ae11e8	125	128	0	1	1	0	
110	414	418	463	7360849	 pro	110	431	eriences using its	7b171602112ab408ab778a23341086aac1388aa89a85311d841334f0dbe635e8	122	128	0	1	1	0	
111	418	420	652	16937954	pr	111	435	nces using its pro	c3331292000a945b8bd7ee8238148460e1289ab0db8531bdc4257440d8e6fdb9	133	128	0	1	0	0	
112	420	421	55	16974424	X	112	437	es using its propr	c3235092489a14a3ae3786822894c578f168dab2da89102dc4271422d862fd39	141	128	0	1	0	0	
113	421	426	16238	6436666	etary	113	438	s using its proprX	cb3350c2089a94a3aa33cea22014d551d068daf2da89012dc4231462da64f5b9	134	128	0	0	0	1	420
114	426	427	220	16974592	 	114	443	ng its proprXetary	cb09c052c4d996e806c360830886e570b1580de09983082dd6a514464a69ef3f	131	128	0	0	0	1	420
115	427	428	23	16974392	8	115	444	ng its proprXetary	cb09c052c4d996e806c360830886e570b1580de09983082dd6a514464a69ef3f	132	128	0	1	0	1	420
116	428	429	72	16974441	i	116	445	 its proprXetary 8	4709d062c05994f886e56ca1088ee53bb3404de21093082d728914620a7def3f	132	128	0	1	0	1	420
117	429	437	40985	7422484	 Capture	117	446	its proprXetary 8i	4f2dd062c04d96f9a6e76081008ec43b30404de21091c02fd28194620a79eb2f	120	128	0	1	1	1	420
118	437	448	5557	6564924	 technology	118	454	rXetary 8i Capture	decf93120269bfb10354300e30e5cf08a8cc85a6478128fdaad8a2cac9c24f79	131	128	0	1	0	1	420
119	448	450	627	16911160	.\n	119	465	Capture technology	d140588ee2612b104374201a0d858d96898060c79e6f0182a03085cb6d404245	115	128	0	1	1	0	
120	450	451	2118	10336766	“	120	467	apture technology.	d140580fe0610a184560201a0f958f9698c060439e7f0182f03085cb6d404660	128	128	1	1	0	0	
121	451	454	1226	16934588	 We	121	468	ture technology. “	4010ddcfb0428c38446020de29948cb6d9090043966f5184f011c44a75414244	120	128	0	0	1	0	
122	454	462	4510	7159347	 believe	122	471	e technology. “ We	c540d96fa4c28c2b0474021a6a8485b6990160475e4f698ef001855975510e44	121	128	0	0	1	0	
123	462	467	430	6433597	 that	123	479	logy. “ We believe	bbfa93bdaf04244a40e689856e68250398154c2a524b61bdac093d7a30d12a44	125	128	0	0	1	0	
124	467	474	8286	7161937	 volume	124	484	 “ We believe that	a2cd92310b4c24824105990d3a78210b989d6ca842df6339bc18380a30817f4c	119	128	0	1	1	0	
125	474	475	55	16974424	X	125	491	elieve that volume	6b1f122165409c8626e09049b254624eb9df4e8aeed7437558ba440ab2205dce	125	128	0	1	1	0	
126	475	478	2265	6565950	ric	126	492	lieve that volumeX	eb0b122144619c26a6e21049b355226a9d9f0e8aecc74b7559aac40b32239d9e	129	128	0	1	0	1	474
127	478	484	2835	6632003	 video	127	495	ve that volumeXric	630012356d309626a6e282189355225abd5b8a86e4d74b715cbbd40fb2229d88	119	128	0	0	1	1	474
128	484	489	690	7160396	 will	128	501	t volumeXric video	e6241b61bd331e60a7a1c60a33cc604ef9792a44e4d92af3541fd44fd604f188	136	128	0	1	0	1	474
129	489	492	387	16934599	 be	129	506	umeXric video will	d2a42badb1371a60a591ce8671dc3a04db2932c534b03cb3443ff00d964cb006	121	128	0	1	1	1	474
130	492	494	264	16974433	 a	130	509	Xric video will be	d3ae2b0901332a60a5d1ca8271da3a04db2b20c5a2b93cbb143f600796cc3027	122	128	0	0	1	1	474
131	494	499	1847	7224373	 game	131	511	ic video will be a	d287abe9533b3860a7514382f1d838c45b2b20c592b83ca9002e7001d6cd302b	114	128	0	0	1	0	
132	499	502	11843	6894584	-ch	132	516	deo will be a game	92d68bf452394ae292d153c4c59bb341db0b086109ac0d8118687001444918f1	134	128	0	0	0	0	
133	502	507	4091	6831414	anger	133	519	 will be a game-ch	90c09fe0422948ead3516b46f59fb141920bac6509141599316d5509044348e9	127	128	0	1	1	0	
134	507	511	369	7558215	 for	134	524	 be a game-changer	80c3bbcc72cf48fa7371674ef50ff573920baf21810405c80b4bc58846018a88	138	128	0	0	0	0	
135	511	514	6395	16929683	 AR	135	528	a game-changer for	50618fc873570af67361a25ef40f6973d228af480126554c2f8b850cc2819008	124	128	0	1	1	0	
136	514	518	323	6633267	 and	136	531	ame-changer for AR	9c23efc876c62a3273692e4bb60368bdda2cab088026844c3f938d4cc301222c	125	128	0	1	1	0	
137	518	526	4200	7556689	 virtual	137	535	changer for AR and	9d0360886e603276e17f110bb60b5bbd4224e108902796ccad13ecc4d280a86e	126	128	0	1	1	0	
138	526	534	8903	6432824	 reality	138	543	for AR and virtual	eff9210a0ab03cf7893697d9506a5e1e225dd109b28706d2ad272cc915160a06	122	128	0	1	1	0	
139	534	535	11	16974380	,	139	551	nd virtual reality	4298bf00190e1657bcb596d5402ef3584c355bc8b6c4b5f980c21a1b1c401a14	123	128	0	0	1	0	
140	535	539	323	6633267	 and	140	552	d virtual reality,	4298bf00190e1f57b8f5969540aef7504c355b88b6c5b5dd84da1a1b1c543a16	118	128	0	1	1	0	
141	539	543	279	6697793	 the	141	556	rtual reality, and	538c15181d4a1611bcdd4297802ee3504c264ab8f4d0937d84ca1a598c5e7632	123	128	0	1	1	0	
142	543	546	1208	16933581	 la	142	560	l reality, and the	524c57d82b0b13543cdc0397882e22987c24cbf87482313086831819194cf730	113	128	0	1	1	0	
143	546	547	55	16974424	X	143	563	eality, and the la	535d77d92b2389452ad44092c00e26087d2cebf8f5825e2696a119110145e720	134	128	0	1	0	0	
144	547	548	77	16974446	n	144	564	ality, and the laX	535b57d94a238a442adc00d2800e22087dacaaf0ed935c2696a11901017de720	139	128	0	0	0	1	546
145	548	550	331	16935371	ch	145	565	lity, and the laXn	517957d94e230a442ad5089bc20a22087daca9f0c5935c2296a1191320fde420	139	128	0	0	0	1	546
146	550	553	315	16934869	 of	146	567	ty, and the laXnch	5e7964f90b7388442ad40892c30768087daca8e0cd925cae9221597506f9e660	133	128	0	0	0	1	546
147	553	557	1057	7559766	 our	147	570	 and the laXnch of	4b7d34f34e37a8c623f5029ac2a54c18798c8864eb925eb65f81d93415f8e460	126	128	0	1	1	1	546
148	557	561	3566	6498878	 web	148	574	 the laXnch of our	cc63907b7e372d826aa5abbac3a5845179c288e6eb9256be1da0183420f8e2c0	123	128	0	0	1	1	546
149	561	568	2851	6434621	 player	149	578	 laXnch of our web	c023307376370982e841e3b8a1ed44d05a03a0c6e2e6261b7880588cc2aa6ce2	120	128	0	0	1	1	546
150	568	571	374	16938204	 is	150	585	 of our web player	c407797efeb231004845eaca285683944c41a14aada7048ba4a9dc84caaeeee4	144	128	0	0	0	0	
151	571	573	264	16974433	 a	151	588	 our web player is	c40f7d56beb271044844eee8688493876cc1a046e9e68000a4aadc84c826de60	128	128	1	0	1	0	
152	573	579	3682	7026232	 major	152	590	ur web player is a	44ef7f76bef1724488446cca280493836cc9a64a4805988aa5abccb4c0669a40	128	128	1	0	1	0	
153	579	584	3094	6700876	 step	153	596	 player is a major	419d356aaadb6c40034c7cb8e164830a0c4cdbaa7975dab2a0ab48b68060fb71	119	128	0	0	1	0	
154	584	592	4741	7558215	 forward	154	601	er is a major step	519c174aeb01ce22434c98a2a17327020e89db3e74774ab60a2b41b4cd51fb11	123	128	0	0	1	0	
155	592	595	304	16936919	 in	155	609	major step forward	18020dcaf5019028c122908422732a0078c8c50e76576a7c872bc5861854bc02	126	128	0	0	1	0	
156	595	602	3339	7092281	 making	156	612	or step forward in	18238dc870458820c9b099e63c51234098c8a54a5653626583899c8000599dc6	132	128	0	1	0	0	
157	602	607	420	6961989	 this	157	619	 forward in making	50aaebd8506c9241b6bbad865dd123e99c029d0f5273767184894ca0c059e8ce	131	128	0	0	0	0	
158	607	618	5557	6564924	 technology	158	624	ard in making this	306bebd8576e986170fbcf00d894c32a85039ed600326471dc816ec147c9c9da	124	128	0	1	1	0	
159	618	629	15987	6564391	 accessible	159	635	ng this technology	f1506947e3c20a4246f101bee199cda6950110d72d7c6702b474cd596540ce44	143	128	0	0	0	0	
160	629	632	311	16937187	 to	160	646	hnology accessible	154e84476442495d622964c6a8005e1fc5170d4f64372504ed50049560458e58	142	128	0	1	0	0	
161	632	641	5127	6701376	 everyone	161	649	logy accessible to	154684c3355350d46128c4c52a407a3fc51d0d4f6534370569509415ec4da2d8	119	128	0	1	1	0	
162	641	643	2476	8512398	,”	162	658	ssible to everyone	186344c2375950803d77b459b842405b9a2b6a35886061450be1d04931092350	129	128	0	1	0	0	
163	643	648	1071	6960189	 said	163	660	ible to everyone,”	387b4546725952b839f7a451b842125b8a29607518e068614be4c0cd9d8d2936	120	128	0	1	1	0	
164	648	655	13929	6633235	 Andrew	164	665	to everyone,” said	2a736046667a62af5df22c79f848c74f4e6071f038d16a23012641d901052b16	120	128	0	1	1	0	
165	655	662	52871	7559721	 Burger	165	672	yone,” said Andrew	2231294662eaf6e5e5d0aee04042635f026031d0249d76962912481118856781	127	128	0	0	1	0	
166	662	663	11	16974380	,	166	679	said Andrew Burger	1106d9076f2de221f54880a0805348d880644041060141929854d8616886450b	130	128	0	0	0	0	
167	663	667	12432	5235671	 CEO	167	680	aid Andrew Burger,	1506dc034f6de201f76880a284d3489b035770410c517192b858d8616884450b	135	128	0	0	0	0	
168	667	670	315	16934869	 of	168	684	Andrew Burger, CEO	b52e98c02c49c229e52d80e4905b581800377640244121c1ac5f94e56c860543	132	128	0	0	0	0	
169	670	671	220	16974592	 	169	687	rew Burger, CEO of	8c2edaf2ed098289e43d83e09c0a503a80b5660c345201056c5796e50e66456b	128	128	1	0	1	0	
170	671	672	23	16974392	8	170	688	rew Burger, CEO of	8c2edaf2ed098289e43d83e09c0a503a80b5660c345201056c5796e50e66456b	127	128	0	1	1	0	
171	672	673	72	16974441	i	171	689	w Burger, CEO of 8	ad2efad2ec498299601d13e49cca54ba00b04604b0320b158e5386e50f660123	128	128	1	1	0	0	
172	673	675	627	16911160	.\n	172	690	 Burger, CEO of 8i	acae7ad2ed499099e03d13a894ca55b800b20444b0330a112f5396e10e770503	122	128	0	1	1	0	
173	675	676	23	16974392	8	173	692	Burger, CEO of 8i.	2c2e7ad2fd099999603e13e896ce55b800922444343096102f4382e50a572503	124	128	0	1	1	0	
174	676	677	72	16974441	i	174	693	rger, CEO of 8i. 8	ac26629c9c01899160175fae074a15ba00927400343106513f5387a50a571503	131	128	0	1	0	0	
175	677	684	34831	7558193	 Portal	175	694	ger, CEO of 8i. 8i	3d0a62969e219989e0165fec0756159a00b27000341546503f5385e502170500	123	128	0	1	1	0	
176	684	685	25	16974394	:	176	701	O of 8i. 8i Portal	6c1ed4121d302d24c7125c48477dbfb8a0a674059595c27a909940295219a502	103	128	0	0	1	0	
177	685	689	578	6697761	 The	177	702	 of 8i. 8i Portal:	2c9ad0921d3a4da0c1125c0c655dbbb88826540c9795c230b0994121521be602	124	128	0	0	1	0	
